Disease Name,Short Description,General Precautions,Recommended Doctor / Specialist
poisoning due to antimicrobial drugs,poisoning due to antimicrobial drugs — a medical condition; consult a healthcare professional for diagnosis and guidance.,"Seek medical evaluation if symptoms are severe or persistent; In cases of poisoning/overdose, seek immediate emergency care and contact poison control",Primary care physician (General practitioner / Family physician)
open wound of the mouth,"open wound of the mouth — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Primary care physician (General practitioner / Family physician)
scleroderma,scleroderma — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
myasthenia gravis,myasthenia gravis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
hypoglycemia,hypoglycemia — a metabolic disorder affecting blood sugar regulation; management includes lifestyle measures and medication.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
idiopathic absence of menstruation,idiopathic absence of menstruation — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
dislocation of the ankle,"dislocation of the ankle — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Orthopedic surgeon
carbon monoxide poisoning,carbon monoxide poisoning — a medical condition; consult a healthcare professional for diagnosis and guidance.,"Seek medical evaluation if symptoms are severe or persistent; In cases of poisoning/overdose, seek immediate emergency care and contact poison control",Primary care physician (General practitioner / Family physician)
panic attack,"panic attack — a mental health condition that affects mood, thoughts, or behavior; often treated with therapy and/or medication.",Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Psychiatrist / Psychologist
plantar fasciitis,plantar fasciitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
hyperopia,hyperopia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Endocrinologist; Ophthalmologist
poisoning due to sedatives,poisoning due to sedatives — a medical condition; consult a healthcare professional for diagnosis and guidance.,"Seek medical evaluation if symptoms are severe or persistent; In cases of poisoning/overdose, seek immediate emergency care and contact poison control",Primary care physician (General practitioner / Family physician)
pemphigus,pemphigus — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
peyronie disease,peyronie disease — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
hiatal hernia,hiatal hernia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
extrapyramidal effect of drugs,extrapyramidal effect of drugs — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
meniere disease,meniere disease — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,ENT (Otolaryngologist)
anal fissure,anal fissure — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
allergy,allergy — a medical condition; consult a healthcare professional for diagnosis and guidance.,"Seek medical evaluation if symptoms are severe or persistent; Avoid triggers, take inhalers or prescribed meds, and get vaccinations (flu, pneumococcal) as advised",Primary care physician (General practitioner / Family physician)
chronic otitis media,chronic otitis media — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,ENT (Otolaryngologist)
fracture of the finger,"fracture of the finger — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Orthopedic surgeon
hirschsprung disease,hirschsprung disease — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
polymyalgia rheumatica,polymyalgia rheumatica — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
lymphedema,lymphedema — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
bladder cancer,bladder cancer — a malignant disease characterized by uncontrolled growth of abnormal cells; presentation and treatment vary by cancer type.,Seek medical evaluation if symptoms are severe or persistent; Early evaluation and referral to oncology for staging and treatment planning,Medical oncologist; Oncologist; Surgical oncologist
acute bronchospasm,acute bronchospasm — a respiratory condition that affects breathing due to airway inflammation or lung damage.,"Seek medical evaluation if symptoms are severe or persistent; Avoid triggers, take inhalers or prescribed meds, and get vaccinations (flu, pneumococcal) as advised",Pulmonologist
acute glaucoma,acute glaucoma — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Ophthalmologist
open wound of the chest,"open wound of the chest — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Primary care physician (General practitioner / Family physician)
dislocation of the patella,"dislocation of the patella — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Orthopedic surgeon
sciatica,sciatica — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
hypercalcemia,hypercalcemia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Endocrinologist
stress incontinence,stress incontinence — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
varicose veins,varicose veins — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
benign kidney cyst,benign kidney cyst — usually a benign growth or structural abnormality; evaluation may include imaging and specialist referral.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Nephrologist
hydrocele of the testicle,hydrocele of the testicle — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Urologist
degenerative disc disease,degenerative disc disease — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
hirsutism,hirsutism — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
dislocation of the foot,"dislocation of the foot — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Orthopedic surgeon
hydronephrosis,hydronephrosis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Nephrologist
diverticulosis,diverticulosis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Gastroenterologist / General surgeon
pain after an operation,pain after an operation — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
huntington disease,huntington disease — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
lymphoma,lymphoma — a malignant disease characterized by uncontrolled growth of abnormal cells; presentation and treatment vary by cancer type.,Seek medical evaluation if symptoms are severe or persistent; Early evaluation and referral to oncology for staging and treatment planning,Medical oncologist; Oncologist; Surgical oncologist
dermatitis due to sun exposure,dermatitis due to sun exposure — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Dermatologist
anemia due to chronic kidney disease,anemia due to chronic kidney disease — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Nephrologist
injury to internal organ,"injury to internal organ — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Primary care physician (General practitioner / Family physician)
scleritis,scleritis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
pterygium,pterygium — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Ophthalmologist
fungal infection of the skin,fungal infection of the skin — an infectious condition caused by pathogens; symptoms and severity vary by agent and host factors.,Seek medical evaluation if symptoms are severe or persistent; Maintain hygiene; follow clinician's advice on isolation and antibiotics/antivirals if prescribed,Dermatologist; Infectious disease specialist
insulin overdose,insulin overdose — a medical condition; consult a healthcare professional for diagnosis and guidance.,"Seek medical evaluation if symptoms are severe or persistent; In cases of poisoning/overdose, seek immediate emergency care and contact poison control",Primary care physician (General practitioner / Family physician)
syndrome of inappropriate secretion of adh (siadh),syndrome of inappropriate secretion of adh (siadh) — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
foreign body in the ear,foreign body in the ear — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,ENT (Otolaryngologist)
premenstrual tension syndrome,premenstrual tension syndrome — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Gynecologist
orbital cellulitis,orbital cellulitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Maintain hygiene; follow clinician's advice on isolation and antibiotics/antivirals if prescribed,Infectious disease specialist
injury to the leg,"injury to the leg — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Primary care physician (General practitioner / Family physician)
hepatic encephalopathy,hepatic encephalopathy — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Hepatologist / Gastroenterologist; Neurologist; Neurosurgeon
bone cancer,bone cancer — a malignant disease characterized by uncontrolled growth of abnormal cells; presentation and treatment vary by cancer type.,Seek medical evaluation if symptoms are severe or persistent; Early evaluation and referral to oncology for staging and treatment planning,Medical oncologist; Oncologist; Orthopedic surgeon; Surgical oncologist
syringomyelia,syringomyelia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
pulmonary fibrosis,pulmonary fibrosis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Pulmonologist
mitral valve disease,mitral valve disease — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Cardiologist
parkinson disease,parkinson disease — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
gout,gout — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
otitis media,otitis media — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,ENT (Otolaryngologist)
drug abuse (opioids),drug abuse (opioids) — a medical condition; consult a healthcare professional for diagnosis and guidance.,"Seek medical evaluation if symptoms are severe or persistent; Seek mental health support; consider therapy, crisis support if suicidal or at risk; In cases of poisoning/overdose, seek immediate emergency care and contact poison control",Psychiatrist / Psychologist
myelodysplastic syndrome,myelodysplastic syndrome — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
fracture of the shoulder,"fracture of the shoulder — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Orthopedic surgeon
acute kidney injury,"acute kidney injury — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Nephrologist
threatened pregnancy,threatened pregnancy — a condition related to pregnancy; management depends on the specific diagnosis and obstetric evaluation.,Seek medical evaluation if symptoms are severe or persistent; Attend regular antenatal care and follow obstetrician guidance,Obstetrician-Gynecologist
intracranial abscess,intracranial abscess — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Maintain hygiene; follow clinician's advice on isolation and antibiotics/antivirals if prescribed,Infectious disease specialist; Neurologist; Neurosurgeon
gum disease,gum disease — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
open wound from surgical incision,"open wound from surgical incision — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Primary care physician (General practitioner / Family physician)
gastrointestinal hemorrhage,gastrointestinal hemorrhage — an acute neurological event caused by interruption of blood flow or bleeding in the brain; urgent care needed.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Gastroenterologist / General surgeon; Neurologist; Neurosurgeon
seborrheic dermatitis,seborrheic dermatitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Dermatologist
drug abuse (methamphetamine),drug abuse (methamphetamine) — a medical condition; consult a healthcare professional for diagnosis and guidance.,"Seek medical evaluation if symptoms are severe or persistent; Seek mental health support; consider therapy, crisis support if suicidal or at risk",Psychiatrist / Psychologist
torticollis,torticollis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
poisoning due to antihypertensives,poisoning due to antihypertensives — a medical condition; consult a healthcare professional for diagnosis and guidance.,"Seek medical evaluation if symptoms are severe or persistent; In cases of poisoning/overdose, seek immediate emergency care and contact poison control",Endocrinologist
tension headache,tension headache — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
alcohol intoxication,alcohol intoxication — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
scurvy,scurvy — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
narcolepsy,narcolepsy — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
food allergy,food allergy — a medical condition; consult a healthcare professional for diagnosis and guidance.,"Seek medical evaluation if symptoms are severe or persistent; Avoid triggers, take inhalers or prescribed meds, and get vaccinations (flu, pneumococcal) as advised",Primary care physician (General practitioner / Family physician)
labyrinthitis,labyrinthitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,ENT (Otolaryngologist)
anxiety,"anxiety — a mental health condition that affects mood, thoughts, or behavior; often treated with therapy and/or medication.","Seek medical evaluation if symptoms are severe or persistent; Seek mental health support; consider therapy, crisis support if suicidal or at risk",Psychiatrist / Psychologist
impulse control disorder,impulse control disorder — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Psychiatrist / Psychologist
stenosis of the tear duct,"stenosis of the tear duct — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,ENT (Otolaryngologist)
abscess of nose,abscess of nose — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Maintain hygiene; follow clinician's advice on isolation and antibiotics/antivirals if prescribed,ENT (Otolaryngologist); Infectious disease specialist
omphalitis,omphalitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
leukemia,leukemia — a malignant disease characterized by uncontrolled growth of abnormal cells; presentation and treatment vary by cancer type.,Seek medical evaluation if symptoms are severe or persistent; Early evaluation and referral to oncology for staging and treatment planning,Medical oncologist; Oncologist; Surgical oncologist
bell palsy,bell palsy — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
conjunctivitis due to allergy,conjunctivitis due to allergy — a medical condition; consult a healthcare professional for diagnosis and guidance.,"Seek medical evaluation if symptoms are severe or persistent; Avoid triggers, take inhalers or prescribed meds, and get vaccinations (flu, pneumococcal) as advised",Ophthalmologist
drug reaction,drug reaction — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
adrenal cancer,adrenal cancer — a malignant disease characterized by uncontrolled growth of abnormal cells; presentation and treatment vary by cancer type.,Seek medical evaluation if symptoms are severe or persistent; Early evaluation and referral to oncology for staging and treatment planning,Endocrinologist; Medical oncologist; Nephrologist; Oncologist; Surgical oncologist
myopia,myopia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Ophthalmologist
osteoarthritis,osteoarthritis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Orthopedic surgeon
thyroid disease,thyroid disease — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Endocrinologist
pharyngitis,pharyngitis — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
chronic rheumatic fever,chronic rheumatic fever — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Maintain hygiene; follow clinician's advice on isolation and antibiotics/antivirals if prescribed,Primary care physician (General practitioner / Family physician)
hypocalcemia,hypocalcemia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
macular degeneration,macular degeneration — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Ophthalmologist
pneumonia,pneumonia — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Pulmonologist
cold sore,cold sore — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
premature ventricular contractions (pvcs),premature ventricular contractions (pvcs) — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Cardiologist
testicular cancer,testicular cancer — a malignant disease characterized by uncontrolled growth of abnormal cells; presentation and treatment vary by cancer type.,Seek medical evaluation if symptoms are severe or persistent; Early evaluation and referral to oncology for staging and treatment planning,Medical oncologist; Oncologist; Surgical oncologist; Urologist
hydrocephalus,hydrocephalus — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Neurologist; Neurosurgeon
breast cancer,breast cancer — a malignant disease characterized by uncontrolled growth of abnormal cells; presentation and treatment vary by cancer type.,Seek medical evaluation if symptoms are severe or persistent; Early evaluation and referral to oncology for staging and treatment planning,Breast surgeon / Oncologist; Medical oncologist; Oncologist; Surgical oncologist
anemia due to malignancy,anemia due to malignancy — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
esophageal varices,esophageal varices — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
endometrial cancer,endometrial cancer — a malignant disease characterized by uncontrolled growth of abnormal cells; presentation and treatment vary by cancer type.,Seek medical evaluation if symptoms are severe or persistent; Early evaluation and referral to oncology for staging and treatment planning,Gynecologist; Medical oncologist; Oncologist; Surgical oncologist
cystic fibrosis,cystic fibrosis — usually a benign growth or structural abnormality; evaluation may include imaging and specialist referral.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
intertrigo (skin condition),intertrigo (skin condition) — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Dermatologist
parathyroid adenoma,parathyroid adenoma — usually a benign growth or structural abnormality; evaluation may include imaging and specialist referral.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Endocrinologist
glucocorticoid deficiency,glucocorticoid deficiency — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Endocrinologist
temporomandibular joint disorder,temporomandibular joint disorder — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
wilson disease,wilson disease — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
vesicoureteral reflux,vesicoureteral reflux — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Urologist
vitamin a deficiency,vitamin a deficiency — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
gonorrhea,gonorrhea — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
fracture of the rib,"fracture of the rib — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Orthopedic surgeon
ependymoma,ependymoma — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
hepatitis due to a toxin,hepatitis due to a toxin — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Hepatologist / Gastroenterologist
vaginal cyst,vaginal cyst — usually a benign growth or structural abnormality; evaluation may include imaging and specialist referral.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Gynecologist
open wound of the shoulder,"open wound of the shoulder — an acute musculoskeletal injury that may cause pain, swelling, reduced function and may require immobilization or surgery.",Seek medical evaluation if symptoms are severe or persistent; Immobilize affected area and seek urgent orthopedic care; avoid weight-bearing,Primary care physician (General practitioner / Family physician)
ectopic pregnancy,ectopic pregnancy — a condition related to pregnancy; management depends on the specific diagnosis and obstetric evaluation.,Seek medical evaluation if symptoms are severe or persistent; Attend regular antenatal care and follow obstetrician guidance,Obstetrician-Gynecologist
chronic knee pain,chronic knee pain — a medical condition; consult a healthcare professional for diagnosis and guidance.,Seek medical evaluation if symptoms are severe or persistent; Follow clinician instructions and maintain healthy lifestyle measures,Primary care physician (General practitioner / Family physician)
